,inputs,outputs,lower,higher,average
601,-4.244,-57.813,-58.226,-57.609,-57.76395
602,-4.118,-56.743,-57.111,-56.5,-56.6963
603,-4.323,-56.756,-57.176,-56.549,-56.7448
604,-4.271,-56.756,-57.176,-56.549,-56.7448
605,-4.498,-57.235,-57.648,-56.899,-57.15485
606,-4.477,-57.235,-57.648,-56.899,-57.15485
607,-4.486,-57.235,-57.648,-56.899,-57.15485
608,-4.696,-58.02,-58.421,-57.511,-57.89765
609,-4.57,-58.02,-58.421,-57.511,-57.89765
610,-4.669,-58.02,-58.421,-57.511,-57.89765
611,-4.851,-58.777,-59.144,-58.237,-58.63845
612,-4.85,-58.777,-59.144,-58.237,-58.63845
613,-4.699,-58.777,-59.144,-58.237,-58.63845
614,-4.707,-58.777,-59.144,-58.237,-58.63845
615,-4.844,-58.777,-59.144,-58.237,-58.63845
616,-4.821,-58.777,-59.144,-58.237,-58.63845
617,-4.867,-58.858,-59.231,-58.325,-58.72195
618,-4.881,-58.93,-59.306,-58.401,-58.79545
619,-4.807,-58.93,-59.306,-58.401,-58.79545
620,-5.105,-60.181,-60.583,-59.727,-60.0749
621,-4.902,-60.173,-60.523,-59.698,-60.0304
622,-5.02,-60.173,-60.523,-59.698,-60.0304
623,-5.014,-60.173,-60.523,-59.698,-60.0304
624,-5.027,-60.173,-60.523,-59.698,-60.0304
625,-5.037,-60.173,-60.523,-59.698,-60.0304
626,-5.122,-60.28,-60.684,-59.836,-60.17785
627,-4.977,-60.28,-60.684,-59.836,-60.17785
628,-4.822,-60.006,-60.39,-59.637,-59.93785
629,-4.985,-60.006,-60.39,-59.637,-59.93785
630,-4.966,-60.006,-60.39,-59.637,-59.93785
631,-5.019,-60.006,-60.436,-59.674,-59.9704
632,-4.942,-60.006,-60.436,-59.674,-59.9704
633,-4.862,-60.006,-60.436,-59.674,-59.9704
634,-4.92,-60.006,-60.436,-59.674,-59.9704
635,-4.9,-60.006,-60.436,-59.674,-59.9704
636,-4.782,-59.897,-60.281,-59.559,-59.84385
637,-4.879,-59.897,-60.281,-59.559,-59.84385
638,-4.725,-59.739,-60.09,-59.391,-59.665
639,-4.627,-59.342,-59.725,-59.071,-59.31635
640,-4.529,-58.941,-59.311,-58.698,-58.91055
641,-4.628,-58.941,-59.311,-58.698,-58.91055
642,-4.432,-58.46,-58.882,-58.255,-58.45665
643,-4.413,-58.364,-58.78,-58.157,-58.3591
644,-4.561,-58.364,-58.78,-58.157,-58.3591
645,-4.525,-58.364,-58.78,-58.157,-58.3591
646,-4.372,-58.159,-58.559,-57.947,-58.1467
647,-4.175,-57.069,-57.449,-56.844,-57.0378
648,-4.219,-57.069,-57.449,-56.844,-57.0378
649,-4.203,-57.069,-57.449,-56.844,-57.0378
650,-3.916,-54.975,-55.314,-54.705,-54.9428
651,-3.968,-54.975,-55.314,-54.705,-54.9428
652,-4.152,-55.073,-55.453,-54.815,-55.05385
653,-3.809,-54.022,-54.345,-53.755,-53.98595
654,-3.707,-53.109,-53.412,-52.852,-53.06155
655,-3.652,-52.612,-52.909,-52.359,-52.55845
656,-3.543,-51.623,-51.912,-51.361,-51.5595
657,-3.506,-51.283,-51.573,-51.025,-51.21785
658,-4.067,-52.494,-52.811,-51.887,-52.34615
659,-3.501,-51.232,-51.527,-50.979,-51.1715
660,-3.693,-51.232,-51.561,-50.993,-51.19405
661,-3.589,-51.232,-51.561,-50.993,-51.19405
662,-3.655,-51.232,-51.561,-50.993,-51.19405
663,-2.696,-43.58,-43.922,-43.236,-43.51205
664,-2.77,-43.58,-43.922,-43.236,-43.51205
665,-2.939,-43.697,-44.078,-43.399,-43.63695
666,-2.933,-43.697,-44.078,-43.399,-43.63695
667,-2.512,-41.761,-42.112,-41.459,-41.70345
668,-1.851,-35.061,-35.351,-34.802,-35.0696
669,-3.281,-41.384,-41.761,-40.908,-41.353
670,-1.978,-35.927,-36.209,-35.657,-35.9482
671,-2.325,-36.33,-36.635,-35.991,-36.30185
672,-2.879,-38.878,-39.171,-38.363,-38.8105
673,-2.793,-38.878,-39.171,-38.363,-38.8105
674,-2.159,-36.906,-37.208,-36.59,-36.93935
675,-1.474,-31.111,-31.406,-30.933,-31.15065
676,-1.268,-28.729,-29.092,-28.61,-28.7979
677,-1.813,-29.873,-30.128,-29.6,-29.85685
678,-0.713,-22.264,-22.552,-22.155,-22.34035
679,-0.388,-18.421,-18.566,-18.296,-18.4197
680,-0.778,-18.943,-19.04,-18.759,-18.9089
681,-1.148,-20.596,-20.672,-20.242,-20.51065
682,-0.166,-15.74,-15.77,-15.583,-15.65365
683,-0.226,-15.74,-15.77,-15.583,-15.65365
684,-0.045,-14.247,-14.223,-14.056,-14.1189
685,-0.682,-15.799,-15.781,-15.298,-15.5897
686,-1.645,-21.773,-21.951,-21.56,-21.7713
687,0.956,-1.911,-2.144,-1.939,-2.04335
688,-0.782,-10.464,-10.46,-10.201,-10.33525
689,0.131,-7.445,-7.854,-7.235,-7.4685
690,1.465,4.362,4.147,4.279,4.23315
691,0.566,1.421,1.151,1.586,1.38655
692,1,2.111,1.818,2.198,2.0003
693,-0.101,-2.922,-3.145,-2.896,-3.0292
694,-0.114,-3.015,-3.224,-2.98,-3.11255
695,0.633,-0.911,-1.413,-0.996,-1.2058
696,1.568,5.626,5.419,5.546,5.5057
697,0.972,4.275,4.096,4.451,4.25125
698,0.87,3.766,3.583,3.99,3.77075
699,1.488,5.223,5.049,5.175,5.1223
700,2.05,11.566,11.385,11.525,11.4681
701,0.906,7.151,6.888,7.278,7.111
702,1.142,7.249,7.029,7.383,7.21995
703,1.47,8.372,8.118,8.381,8.22745
704,2.528,17.449,17.304,17.456,17.3907
705,2.213,17.134,17.036,17.304,17.1252
706,3.275,26.654,26.556,26.694,26.63965
707,2.789,25.754,25.72,26.034,25.83385
708,2.414,23.934,23.763,24.206,24.0099
709,3.173,26.102,26.001,26.156,26.0711
710,2.754,25.476,25.378,25.683,25.50125
711,2.402,23.863,23.694,24.142,23.9403
712,3.198,26.219,26.131,26.28,26.2011
713,2.612,24.908,24.838,25.181,24.98475
714,2.916,25.191,25.111,25.342,25.229
715,4.487,41.589,41.506,41.696,41.60165
716,3.155,35.935,35.788,36.154,35.9624
717,2.547,31.49,31.368,31.575,31.45825
718,2.978,32.166,31.933,32.161,32.06485
719,4.555,42.419,42.342,42.537,42.43995
720,3.068,35.699,35.51,35.863,35.70975
721,3.319,35.839,35.67,35.998,35.84895
722,3.279,35.839,35.67,35.998,35.84895
723,4.054,39.134,38.878,39.299,39.0929
724,3.563,38.213,38.033,38.455,38.26585
725,2.423,30.799,30.67,30.862,30.77755
726,3.211,33.112,32.746,33.238,32.99455
727,3.236,33.247,32.881,33.377,33.1338
728,5.48,53.823,53.712,53.975,53.8476
729,5.115,53.37,53.362,53.579,53.4424
730,4.952,52.75,52.74,53.073,52.86995
731,3.92,46.577,46.363,46.727,46.57215
732,3.666,44.701,44.508,44.796,44.66
733,4.029,45.146,44.871,45.177,45.0585
734,3.536,43.692,43.531,43.782,43.64775
735,7.134,74.193,74.039,74.4,74.2899
736,2.437,38.762,38.547,39.054,38.7473
737,5.289,56.487,56.269,56.682,56.49265
738,3.48,47.404,47.085,47.561,47.34765
739,4.697,52.281,51.98,52.549,52.21595
740,3.847,49.623,49.509,49.835,49.63975
741,3.688,48.71,48.485,48.905,48.68575
742,3.752,48.71,48.485,48.905,48.68575
743,6.672,69.536,69.378,69.768,69.6325
744,4.805,60.005,59.739,60.184,60.01145
