1,17,0,0,0,17,0
2,0,27,0,0,0,-27
3,0,17,3,0,0,-14
4,25,0,0,2,23,0
5,38,0,0,4,34,0
6,0,20,0,0,0,-20
7,0,6,0,0,0,-6
8,0,23,6,0,0,-17
9,24,0,0,2,22,0
10,0,20,0,0,0,-20
11,29,0,0,0,29,0
12,0,24,0,0,0,-24
13,5,0,0,0,5,0
14,27,0,0,2,25,0
15,0,6,0,0,0,-6
16,6,0,0,0,6,0
17,0,2,0,0,0,-2
18,43,0,0,5,38,0
19,26,0,0,2,24,0
20,42,0,0,4,38,0
21,0,50,6,0,0,-44
22,0,47,14,0,0,-33
23,16,0,0,0,16,0
24,17,0,0,2,15,0
25,45,0,0,10,35,0
26,31,0,0,11,20,0
27,0,11,0,0,0,-11
28,3,0,0,0,3,0
29,0,9,2,0,0,-7
30,12,0,0,0,12,0
31,0,17,0,0,0,-17
32,22,0,0,2,20,0
33,0,22,2,0,0,-20
34,22,0,0,2,20,0
35,48,0,0,6,42,0
36,0,19,4,0,0,-15
37,0,34,8,0,0,-26
38,0,31,8,0,0,-23
39,0,38,10,0,0,-28
40,5,0,0,0,5,0
41,15,0,0,0,15,0
42,0,1,0,0,0,-1
43,39,0,0,6,33,0
44,0,27,0,0,0,-27
45,36,0,0,2,34,0
46,30,0,0,12,18,0
47,44,0,0,10,34,0
48,19,0,0,3,16,0
49,14,0,0,4,10,0
50,32,0,0,4,28,0
51,24,0,0,4,20,0
52,0,13,4,0,0,-9
53,0,47,16,0,0,-31
54,30,0,0,6,24,0
55,0,22,6,0,0,-16
56,37,0,0,12,25,0
57,26,0,0,12,14,0
58,13,0,0,5,8,0
59,0,1,0,0,0,-1
60,0,10,4,0,0,-6
61,27,0,0,4,23,0
62,0,25,8,0,0,-17
63,0,13,4,0,0,-9
64,15,0,0,2,13,0
65,0,50,20,0,0,-30
66,7,0,0,0,7,0
67,30,0,0,12,18,0
68,0,46,12,0,0,-34
69,1,0,0,0,1,0
70,11,0,0,0,11,0
71,18,0,0,6,12,0
72,0,15,4,0,0,-11
73,0,58,14,0,0,-44
74,2,0,0,0,2,0
75,8,0,0,0,8,0
76,0,10,0,0,0,-10
77,2,0,0,0,2,0
78,0,42,14,0,0,-28
79,31,0,0,2,29,0
80,19,0,0,4,15,0
81,1,0,0,0,1,0
82,63,0,0,24,39,0
83,0,45,12,0,0,-33
84,0,34,8,0,0,-26
85,0,35,10,0,0,-25
86,20,0,0,0,20,0
87,5,0,0,0,5,0
88,31,0,0,8,23,0
89,13,0,0,4,9,0
90,20,0,0,8,12,0
91,0,15,4,0,0,-11
92,91,0,0,40,51,0
93,0,18,6,0,0,-12
94,0,26,10,0,0,-16
95,44,0,0,16,28,0
96,42,0,0,15,27,0
97,0,45,20,0,0,-25
98,8,0,0,0,8,0
99,13,0,0,6,7,0
100,0,4,0,0,0,-4
101,28,0,0,14,14,0
102,0,16,6,0,0,-10
103,0,4,2,0,0,-2
104,39,0,0,13,26,0
105,13,0,0,0,13,0
106,0,48,20,0,0,-28
107,0,81,36,0,0,-45
108,0,45,16,0,0,-29
109,0,106,58,0,0,-48
110,49,0,0,6,43,0
111,75,0,0,24,51,0
112,86,0,0,50,36,0
113,22,0,0,10,12,0
114,0,66,24,0,0,-42
115,0,51,18,0,0,-33
116,30,0,0,4,26,0
117,0,11,0,0,0,-11
118,0,74,26,0,0,-48
119,0,29,8,0,0,-21
120,33,0,0,2,31,0
121,0,5,0,0,0,-5
122,0,15,0,0,0,-15
123,0,44,20,0,0,-24
