1,4649,19,0,0,0,sell
2,4685,-94,-0.002,19,36,buy
3,4588,-57,0.018,-75,-61,buy
4,4528,88,0.027,-132,-121,sell
5,4619,127,0.001,-44,-30,sell
6,4763,-79,-0.012,83,114,buy
7,4684,-7,0.005,4,35,buy
8,4677,-56,0.007,-3,28,buy
9,4615,71,0.02,-59,-34,sell
10,4686,-66,0,12,37,buy
11,4615,84,0.02,-54,-34,sell
12,4705,-90,-0.002,30,56,buy
13,4615,10,0.02,-60,-34,sell
14,4626,84,0.01,-50,-23,sell
15,4716,-18,-0.003,34,67,buy
16,4695,21,0.002,16,46,sell
17,4716,-6,-0.003,37,67,buy
18,4706,149,0,31,57,sell
19,4858,72,-0.021,180,209,sell
20,4933,133,-0.03,252,284,sell
21,5067,-145,-0.048,385,418,buy
22,4918,-105,0,240,269,buy
23,4807,51,0.023,135,158,sell
24,4860,44,0.003,186,211,sell
25,4914,132,-0.003,230,265,sell
26,5058,54,-0.039,362,409,sell
27,5116,-39,-0.057,416,467,buy
28,5076,13,-0.025,377,427,sell
29,5091,-23,-0.042,390,442,buy
30,5066,42,-0.019,367,417,sell
31,5108,-70,-0.053,409,459,buy
32,5031,82,-0.013,339,382,sell
33,5117,-64,-0.054,421,468,buy
34,5050,67,-0.016,357,401,sell
35,5117,153,-0.054,424,468,sell
36,5275,-43,-0.089,577,626,buy
37,5230,-91,-0.021,534,581,buy
38,5137,-85,0.002,443,488,buy
39,5037,-76,0.021,358,388,buy
40,4961,20,0.035,282,312,sell
41,4981,61,0.018,302,332,sell
42,5049,-6,0.003,363,400,buy
43,5040,130,0.007,357,391,sell
44,5172,-84,-0.015,487,523,buy
45,5080,117,0.005,403,431,sell
46,5198,56,-0.024,520,549,sell
47,5258,124,-0.093,576,609,sell
48,5382,7,-0.118,700,733,sell
49,5391,27,-0.12,707,742,sell
50,5418,93,-0.126,734,769,sell
51,5512,56,-0.145,827,863,sell
52,5575,-34,-0.158,883,926,buy
53,5535,-97,-0.006,849,886,buy
54,5435,95,0.004,752,786,sell
55,5536,-60,-0.019,847,887,buy
56,5471,81,2.08E-17,787,822,sell
57,5556,37,-0.025,868,907,sell
58,5596,22,-0.038,905,947,sell
59,5621,-4,-0.043,927,972,buy
60,5616,-24,-0.031,923,967,buy
61,5592,36,-0.022,899,943,sell
62,5629,-68,-0.059,935,980,buy
63,5556,-22,-0.015,867,907,buy
64,5534,52,-0.012,845,885,sell
65,5587,-114,-0.038,897,938,buy
66,5469,25,2.08E-17,783,820,sell
67,5494,65,-0.007,808,845,sell
68,5564,-111,-0.028,873,915,buy
69,5441,3,0.003,762,792,sell
70,5445,40,0.001,765,796,sell
71,5485,36,-0.007,805,836,sell
72,5525,-45,-0.017,841,876,buy
73,5477,-140,-0.001,796,828,buy
74,5336,-1,0.016,656,687,buy
75,5329,4,0.017,655,680,sell
76,5334,17,0.011,659,685,sell
77,5352,-34,0.005,676,703,buy
78,5316,10,0.018,642,667,sell
79,5326,-99,0.01,652,677,buy
80,5214,112,0.03,553,565,sell
